Element,A,A0,k1,k2,gamma,R,Z,N,e⁻
Actinium,227,11021.506579207466,8.065237749546279,3.7194736842105267,0.6999473684210525,4.606,89,138,89
Aluminum,27,-3240.1752045126527,9.21451330049261,3.6297507389162558,0.6546,3.0617,13,14,13
Americium,243,12006.56081195338,8.06544827586207,3.7184210526315793,0.7454736842105263,4.589,95,148,95
Antimony,121,6427.007840081887,8.375862068965517,3.7378738916256156,0.6921842364532019,4.434,51,70,51
Argon,40,1750.1492194888629,7.664161857846587,3.7546192821956366,0.7188275862068966,3.427,18,22,18
Arsenic,75,4444.82537968143,8.561017593244195,3.7288881069669246,0.6493103448275861,3.999,33,42,33
Astatine,210,10105.027473416456,8.05096551724138,3.7180000000000004,0.686,4.618,85,125,85
Barium,138,6836.3991831792055,8.135430127041744,3.700105263157895,0.6944736842105262,4.567,56,82,56
Berkelium,247,12155.878668333788,8.077788177339901,3.748765517241379,0.7474128078817734,4.583,97,150,97
Beryllium,9,1386.5942588525816,6.321351020408163,2.45325306122449,0.4855235749472203,2.519,4,5,4
Bismuth,209,9961.316878113897,8.048018148820326,3.7363520871143376,0.6706842105263159,4.624,83,126,83
Bohrium,270,13478.210411849748,8.0779881773399,3.7338788177339906,0.7916955665024631,4.559,107,163,107
Boron,10,1150.5682780347813,7.9598571428571425,2.614248979591837,0.5464007037297679,2.43,5,5,5
Boron,11,-1817.0636706150694,7.328523715693174,2.595911470795215,0.5206264367816092,2.43,5,6,5
Bromine,79,4662.550024190147,8.520594370161858,3.717850105559465,0.6230689655172413,4.020,35,44,35
Cadmium,114,6388.778579972741,8.427671921182265,3.724109359605911,0.6948571428571428,4.394,48,66,48
Calcium,40,4722.018992548068,8.887651653764955,3.5586664320900776,0.6829034482758621,3.478,20,20,20
Californium,251,12424.583501189387,8.078016748768471,3.72816157635468,0.7517822660098522,4.580,98,153,98
Carbon,12,-2220.8405955178678,7.602254609429979,2.671434904996482,0.5659241379310345,2.4702,6,6,6
Cerium,140,9080.012961938122,8.097999999999999,3.744301270417423,0.683,4.610,58,82,58
Cesium,133,6602.845084097925,8.255229556650246,3.755058128078818,0.6862364532019705,4.507,55,78,55
Chlorine,35,4855.055749481642,9.458225052779733,3.779433216045039,0.631303448275862,3.365,17,18,17
Chromium,52,2848.9214617469547,9.418181140042226,3.802543701618579,0.7014413793103448,3.643,24,28,24
Cobalt,59,3656.8017904768417,9.132446164672766,3.5695665024630543,0.7145517241379311,3.748,27,32,27
Copernicium,285,14355.41061425785,8.077959605911328,3.7214935960591133,0.803856157635468,4.548,112,173,112
Copper,63,6205.191858549923,8.23448008444757,3.9872654468684026,0.6341586206896551,3.882,29,34,29
Curium,247,12119.949119561004,8.076773139745915,3.7615789473684207,0.7418421052631579,4.586,96,151,96
Darmstadtium,281,14082.409455329896,8.076983666061704,3.7302758620689653,0.8017096188747732,4.552,110,171,110
Dubnium,268,13386.962275933103,8.077816748768472,3.725431527093596,0.7821891625615763,4.564,105,163,105
Dysprosium,164,9691.627623389864,7.998,3.701350272232305,0.662,4.666,66,98,66
Einsteinium,252,12523.827802941641,8.078102463054186,3.7201142857142857,0.7567251231527093,4.577,99,153,99
Erbium,166,8907.610676322538,7.968,3.6922323049001817,0.654,4.680,68,98,68
Europium,153,12302.844893525613,8.048,3.7103157894736842,0.67,4.649,63,90,63
Fermium,257,12796.42503133749,8.077759605911329,3.7198285714285717,0.7631024630541873,4.574,100,157,100
Flerovium,289,14486.968121851829,8.077959605911328,3.739510344827586,0.8142699507389162,4.543,114,175,114
Fluorine,19,824.6841019254638,7.500158620689655,3.02282772695285,0.671303448275862,2.897,9,10,9
Francium,223,10769.637461683527,8.054568472906402,3.722787192118227,0.693311330049261,4.614,87,136,87
Gadolinium,158,12362.658637232009,8.037999999999998,3.7066751361161527,0.668,4.654,64,94,64
Gallium,69,7067.8017128897,8.235721463757915,3.9146788177339897,0.6608896551724137,3.977,31,38,31
Germanium,74,12469.798873921844,7.907894299788881,3.570732019704433,0.7000068965517241,3.985,32,42,32
Gold,197,9244.409151114756,8.01648275862069,3.6980000000000004,0.664,4.642,79,118,79
Hafnium,180,8369.258276838384,7.956352087114339,3.6917931034482763,0.6411578947368421,4.682,72,108,72
Hassium,277,13787.319588814331,8.078102463054186,3.746349753694581,0.7967822660098522,4.557,108,169,108
Helium,4,-481.8591526303598,5.467010204081633,1.9140612244897959,0.43123469387755103,1.6755,2,2,2
